NAME,Year,state,Total_population,Households,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE Estimate!!Total:!!Households with one or more people under 18 years:,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE Estimate!!Total:!!Households with one or more people under 18 years:!!Family households:!!Married-couple family,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE Estimate!!Total:!!Households with no people under 18 years:!!Family households:!!Married-couple family,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE Estimate!!Total:!!Women who had a birth in the past 12 months:,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE Estimate!!Total:!!Women who did not have a birth in the past 12 months:,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER Estimate!!Total:,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER Estimate!!Total:!!Less than high school graduate:,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER Estimate!!Total:!!High school graduate (includes equivalency):,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER Estimate!!Total:!!Some college or associate's degree:,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER Estimate!!Total:!!Bachelor's degree or higher:,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months below poverty level:,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months below poverty level:!!In married-couple family:,"POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months below poverty level:!!In other family:!!Male householder, no spouse present:","POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months below poverty level:!!In other family:!!Female householder, no spouse present:",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months at or above poverty level:,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In married-couple family:,"POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In other family:!!Male householder, no spouse present:","POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In other family:!!Female householder, no spouse present:",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Less than high school graduate,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!High school graduate (includes equivalency),"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Some college, associate's degree",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family:!!Bachelor's degree or higher,"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Less than high school graduate","POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!High school graduate (includes equivalency)","POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Some college, associate's degree","POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present:!!Bachelor's degree or higher",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Less than high school graduate,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!High school graduate (includes equivalency),"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Some college, associate's degree",POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family:!!Bachelor's degree or higher,"POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Less than high school graduate","POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!High school graduate (includes equivalency)","POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Some college, associate's degree","POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY EDUCATIONAL ATTAINMENT OF HOUSEHOLDER Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present:!!Bachelor's degree or higher",Median_household_income,Median House Value,population_2016,5_year_population_growth,Married_couple_households_with_one_or_more_children_as_proportion_of_all_households,Married_couple_households_with_one_or_more_children_as_proportion_of_all_households_with_one_or_more_children,Proportion_of_children_below_poverty_level,Proportion_of_children_in_married_couple_families_below_poverty_level,Proportion_of_children_in_female_householder_families_below_poverty_level,Proportion_of_children_in_male_householder_families_below_poverty_level,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_individuals_25+y/o_who_did_not_graduate_high_school,Proportion_of_individuals_25+y/o_whose_highest_education_level_=_high_school_graduate/equivalent,Proportion_of_individuals_25+_y/o_whose_highest_education_level_=_some_college/associate's_degree,Proportion_of_individuals_25+_y/o_whose_highest_education_level_=_bachelor's_degree_or_higher,Median_income_as_proportion_of_median_home_value,Proportion_of_women_15_to_50_y/o_who_gave_birth_in_past_year
Alabama,2021,1,4997675,1902983,560352,348633,546370,58514,1104901,3413803,430047,1041209,1032122,910425,242038,57686,18753,165599,858303,636982,57319,164002,12110,15629,12442,5133,19107,30324,28653,5617,56278,208851,268491,316069,17713,50598,69704,42695,54943,157100,4841164,0.032329208430038836,0.18320342325706535,0.6221678516361144,0.21996635588422134,0.08304110740670363,0.5024226261449449,0.24651645809233358,0.1770778499151898,0.06962312900926586,0.044288139876767774,0.015980597879216196,0.5189299293862032,0.37473122265885667,0.2913163272568297,0.11626511011756914,0.12597299844191362,0.304999731970474,0.302337891202275,0.2666893783853374,0.34973265436028006,0.050295036594852224
Alaska,2021,2,735951,260561,88146,59909,69970,10413,159517,484382,32669,137873,165649,148191,22470,8395,2616,11459,155457,119372,12709,23376,566,1858,1637,541,840,2525,1932,360,4320,24771,46703,49483,1218,5495,9011,5065,80287,282800,736855,-0.0012268356732328956,0.22992312740586657,0.6796564790234384,0.1262877472221754,0.06570554211963965,0.3289507679058418,0.1707014681892333,0.11584117887842817,0.06977355514664464,0.03386429458005792,0.010814808891731968,0.40816326530612246,0.31483790523690774,0.176551219957964,0.0663594470046083,0.06744470273461854,0.28463691879549613,0.34198009009418184,0.30593828837570347,0.2839002828854314,0.061278173365503445
Arizona,2021,4,7079203,2683557,818733,512219,757947,88808,1528636,4792007,560460,1125498,1610633,1495416,290849,100389,33533,156927,1287357,923124,118988,245245,18443,17561,21256,11022,21611,21870,27692,6479,89406,206512,410997,494969,28138,56097,101572,62093,65913,265600,6728577,0.05210997808303297,0.19087315827463325,0.6256239824216198,0.1842908973860193,0.09808277960319019,0.3901987209452672,0.2198582490280027,0.17100761249524798,0.07837178062506416,0.049174904511940926,0.021782996140247556,0.4344006914711854,0.2805032898533995,0.21422824607005816,0.09448462929475587,0.11695725820100013,0.23486985724353074,0.3361082318953207,0.31206465266014843,0.2481664156626506,0.05490638315762401
Arkansas,2021,5,3006309,1158460,362428,226713,326603,37634,652699,2021290,248721,688732,592568,491269,148923,45823,12998,90102,540990,398634,37809,104547,7259,12628,8320,3641,8807,17548,17587,2751,40942,143614,162903,174009,11063,30752,39293,23621,52123,142100,2968472,0.012746288326115351,0.19570205272516963,0.6255394174843003,0.215857651616943,0.10309883745784182,0.462894749009756,0.2558308894443679,0.1505985353000975,0.08082333815491353,0.04859160276364741,0.0204953560371517,0.4432310015098138,0.3633126293995859,0.30919479606188466,0.10431518276960412,0.12305062608532175,0.3407388351003567,0.2931632769172162,0.24304726189710532,0.36680506685432795,0.05451571922535935
California,2021,6,39455353,13217586,4462011,3030853,3508592,461770,9115087,26797070,4236035,5477154,7632443,9451438,1395761,548886,140107,706768,7417227,5559120,613209,1244898,123338,80829,76673,61007,111633,92597,115126,38808,720130,931028,1748928,2797512,200554,275209,492019,383829,84097,573200,38654206,0.020725998097076426,0.22930457952004246,0.6792571779854419,0.15837545676903225,0.0898633694858846,0.362135734290601,0.18598702271025705,0.14622724276439653,0.07988184101113102,0.04199877191127744,0.021342170543557696,0.3575837558898993,0.25175500127784756,0.18961862487544162,0.09182347972373456,0.1580782899025901,0.20439376394508801,0.28482378857091467,0.3527041575814072,0.14671493370551292,0.04821728047103554
Colorado,2021,8,5723176,2227932,666878,475845,628523,67425,1316694,3937040,300620,810976,1139275,1686169,136977,48712,12800,75465,1103054,861487,81950,159617,8058,8290,10530,8198,8496,12059,14638,5097,53432,158639,300768,556453,13748,35548,58363,55021,80184,397500,5359295,0.06789717677418383,0.21358147376131767,0.7135413074055524,0.11046256101661975,0.05351796695008454,0.32101564560451246,0.13509234828496042,0.13104569848755895,0.04966183227599758,0.03382610874467552,0.014518702703085622,0.38194569322064376,0.2533030856806772,0.20051780112601197,0.08478325958947404,0.07635685692804747,0.20598622315241907,0.2893734887123321,0.42828343120720136,0.20172075471698114,0.04871329705032588
Connecticut,2021,9,3605330,1397324,411169,270122,396404,35148,787350,2515137,225021,656949,613201,1019966,94923,23517,8469,62937,637688,470262,45031,122395,4131,5222,4367,4920,8779,12650,11520,3437,30525,123021,152512,341828,12299,39055,45682,43242,83572,286700,3588570,0.004670384024834329,0.1933137912180711,0.6569610063015451,0.12956807910337137,0.04762656978121791,0.33959057259404746,0.15829906542056074,0.11920013850415513,0.04071957143859704,0.02783674041777421,0.0141889787396034,0.41650061675680805,0.24465718982690263,0.20139155973567358,0.07363054050001071,0.08946669704274558,0.2611980977576967,0.24380421424359786,0.40553099095595985,0.2914963376351587,0.04273323460968902
Delaware,2021,10,981892,381097,105611,64271,117210,9827,208215,690618,61788,209928,186528,232374,34320,9703,2739,21878,167851,117386,14857,35608,1491,2187,1911,1213,1665,4226,3397,774,8985,39479,47811,78404,2400,10880,12540,11450,72724,269700,934695,0.050494546349343805,0.1686473522489025,0.6085635019079452,0.16975728467485446,0.07634807103683246,0.38057961938558954,0.15566037735849056,0.14232531500572737,0.05248883982143714,0.03843369132376011,0.015235439667407714,0.4095940959409594,0.2797563881901231,0.21315178515404404,0.06331806282722513,0.08946769415219412,0.3039712257717001,0.27008852940409894,0.3364725506720068,0.2696477567667779,0.045069298575503805
District of Columbia,2021,11,683154,310104,62069,31755,48195,8375,197394,487726,37934,75562,74761,299469,27761,3142,1729,22890,95127,58035,6257,30835,570,743,699,485,2939,4686,2869,705,3266,4929,7069,62189,2840,7750,8814,9687,93547,635900,659009,0.03663834636552754,0.10240112994350282,0.5116080491066394,0.2259048890046221,0.051359170930251566,0.4260586319218241,0.21650388179313798,0.14859228362878,0.13099435825105782,0.08998455200823893,0.007738456138111497,0.5085654957605122,0.3768092634287552,0.2455704870324403,0.06784064665127021,0.07777727658562389,0.1549271517204332,0.15328483615800675,0.6140107355359362,0.14710960842899826,0.040700980225398385
Florida,2021,12,21339762,8157420,2196679,1357347,2458358,227983,4463810,15349290,1682505,4282929,4543900,4839956,744686,236289,68912,439485,3428536,2404860,286511,737165,43113,65547,55091,45495,50449,82131,73915,25721,228902,756977,1108886,1511694,77593,212695,294277,227982,61777,248700,19934451,0.07049659907865036,0.16639415403399604,0.6179086703155081,0.1784438977844936,0.08946447171287951,0.3735052904432074,0.1938872836029182,0.15849493594103267,0.07969007591267853,0.04732997301493071,0.02921610671536981,0.39400353009168865,0.2785744812194311,0.20075123848426907,0.10138232500206935,0.10961451637176703,0.2790310822194382,0.29603323671648657,0.31532116469230825,0.24839967832730198,0.0485918709542386
Georgia,2021,13,10625615,3885371,1274206,794739,1033589,132163,2488300,7075856,831989,1925348,1983294,2335225,479265,135447,36904,306914,2005506,1435841,136363,433302,23783,29918,23049,13980,32567,51326,52883,13079,115934,363041,494276,764347,40553,107730,156247,125404,65030,206700,10099320,0.052111924367185036,0.20454648989761853,0.6237131201705218,0.19288095361705365,0.08620125654876763,0.4146276222075718,0.21298920163678023,0.17022266438586572,0.07613516931791867,0.04455419707147344,0.017961602257148986,0.4453911378555799,0.32269137913690776,0.2528714196911012,0.09444480549959201,0.11758139227253918,0.2721010715876637,0.280290328124258,0.33002720801553903,0.3146105466860184,0.05043498038323762
Hawaii,2021,15,1453498,478413,149671,102413,141729,18827,301980,1020422,74468,273929,321607,350418,34767,10729,3913,20125,267265,200841,22584,43840,1338,2901,2644,1837,1432,4008,3257,1410,9817,44095,79051,102459,4178,13268,17319,14478,88005,662100,1413673,0.028171295624942916,0.21406817958542096,0.6842541307267272,0.11511031943635111,0.05071134848986151,0.3146251856484015,0.14767709552024758,0.11994621246077992,0.061728657758107076,0.032364281779790685,0.01761333128787298,0.2552584670231729,0.2319981477193795,0.15829121306376362,0.08874622356495468,0.07297765042306026,0.2684467798616651,0.31517058628684996,0.34340498342842474,0.13291798821930223,0.05868637529729713
Idaho,2021,16,1811617,657101,212709,154761,206858,23634,389004,1185197,104683,314521,420711,345282,59300,25551,5930,27819,390872,319031,27439,44402,2295,4827,5941,3374,2484,4896,5551,1121,19291,69954,126971,128966,4263,10345,17767,10920,63377,266500,1635483,0.10769540252023413,0.23552087122071036,0.7275714708827553,0.13172742862728024,0.07415071013575869,0.3851926724913806,0.17770985046000778,0.10631891040489205,0.06454848156617322,0.044698748043818466,0.025494937282756536,0.3681636282792352,0.32123876386063904,0.23805643708722876,0.09309857985217175,0.08832540075616122,0.2653744482984685,0.35497136762917897,0.29132878331619133,0.237812382739212,0.05727538423509226
Illinois,2021,17,12821813,4930255,1470835,971553,1334780,153901,2867515,8764878,885321,2226182,2483806,3169569,440502,126443,40662,273397,2394417,1794444,169114,430859,20429,28515,21991,16930,27020,48660,54780,12200,144357,429565,626458,1018088,41492,108760,169982,131714,72563,212600,12851684,-0.002324286840541645,0.19705938130989167,0.6605452005153535,0.15538433373228652,0.06582531924053836,0.38820684523809523,0.1938353291129586,0.12397291032005146,0.0622489521480964,0.033913229876212314,0.016357203449601843,0.39438346567024757,0.30910938889594713,0.24372447299810465,0.08477285045235348,0.10100779497444232,0.2539889317341325,0.28338169681312164,0.3616215764783035,0.3413123236124177,0.05093671311729335
Indiana,2021,18,6751340,2622601,802098,513016,745368,82749,1481355,4501214,460480,1485995,1301440,1253299,253572,71047,25187,157338,1293682,968303,102961,222418,10508,16394,12179,7185,16336,29819,30337,5082,76387,323645,364498,447588,19760,67191,81307,49956,61944,158500,6589578,0.024548157712072083,0.19561343871980527,0.6395926682275732,0.1638851798088743,0.06835714629335643,0.4143134012365835,0.19654618097824392,0.12092755624604408,0.04821211684542067,0.032332741314176336,0.015799090975057887,0.4525709219858156,0.3073806824038759,0.27172978395614633,0.09233620407718304,0.10230129027413494,0.33013204882060704,0.2891308878004912,0.27843577310476686,0.39081388012618296,0.052905049792085435
Iowa,2021,19,3179090,1275893,373278,251916,377865,40138,668608,2119884,152380,648873,688911,629720,91559,26460,9837,55262,633492,487549,49668,96275,3294,7408,6187,3237,4216,9991,12650,2853,26378,148816,202183,232278,5932,22053,37187,21004,65429,160700,3106589,0.02333781520503675,0.1974428890196905,0.6748750261199428,0.1262793927599576,0.051477697861321496,0.36467661363231424,0.1653138391731787,0.11101375033701806,0.0474190905366653,0.029692374142150983,0.013744347493790204,0.41545132045723293,0.3117900386967919,0.2538274775769007,0.1195875424403739,0.07188129161784323,0.3060889180728757,0.3249758005626723,0.2970539897466088,0.4071499688861232,0.0566324183840191
Kansas,2021,20,2932099,1139738,351066,240755,331177,40014,623715,1921951,161293,493339,606084,661235,95563,30832,9779,54952,602128,468229,42974,90925,4606,6942,6518,3514,5179,9161,11458,2451,28972,106949,173271,241160,6266,18544,34169,23994,64521,164800,2898292,0.01166445616935774,0.2112371439751943,0.6857827303128187,0.1369703780040161,0.061780022882974225,0.3767009192676022,0.18537334369609312,0.13717314908571088,0.060953016480670114,0.03625360839650924,0.014361967352477174,0.45251201397990387,0.33066233531853456,0.25112323843338374,0.09268292682926829,0.08392149435651586,0.25668656484998836,0.3153483101286141,0.3440436306648817,0.3915109223300971,0.0602866531370484
Kentucky,2021,21,4494141,1748475,536083,339931,494743,52740,974174,3053564,376963,1000507,891024,785070,208618,71373,20034,117211,783574,591866,61364,130344,14412,19305,12533,4944,14058,23923,25499,4652,53584,213322,239361,277213,13682,41217,54323,34393,55454,155100,4411989,0.018620173350386793,0.19441570511445688,0.6341014357851303,0.21025970779849062,0.10761279116577885,0.4734745814061522,0.2461239833902553,0.21195364433201952,0.0829869275707463,0.049755055698031715,0.017522159648706216,0.5067772170151406,0.36725514276941973,0.3194482724061036,0.11914457677039314,0.12345017166825388,0.3276522123001188,0.29179804320459635,0.257099572827031,0.35753707285622177,0.0513577573195029
